OBJECTID,X,Y
33922,221110.9844,3309473.735
33923,221190.9844,3309473.735
33924,221270.9844,3309473.735
33925,221350.9844,3309473.735
33926,221430.9844,3309473.735
33927,221510.9844,3309473.735
33928,221590.9844,3309473.735
33929,221670.9844,3309473.735
33930,221030.9844,3309553.735
33931,221110.9844,3309553.735
33932,221190.9844,3309553.735
33933,221270.9844,3309553.735
33934,221350.9844,3309553.735
33935,221430.9844,3309553.735
33936,221510.9844,3309553.735
33937,221590.9844,3309553.735
33938,221670.9844,3309553.735
33939,221750.9844,3309553.735
33940,221830.9844,3309553.735
33941,221910.9844,3309553.735
33942,221990.9844,3309553.735
33943,222070.9844,3309553.735
33944,222150.9844,3309553.735
33945,222230.9844,3309553.735
33946,222310.9844,3309553.735
33947,222390.9844,3309553.735
33948,220870.9844,3309633.735
33949,220950.9844,3309633.735
33950,221030.9844,3309633.735
33951,221110.9844,3309633.735
33952,221190.9844,3309633.735
33953,221270.9844,3309633.735
33954,221350.9844,3309633.735
33955,221430.9844,3309633.735
33956,221510.9844,3309633.735
33957,221590.9844,3309633.735
33958,221670.9844,3309633.735
33959,221750.9844,3309633.735
33960,221830.9844,3309633.735
33961,221910.9844,3309633.735
33962,221990.9844,3309633.735
33963,222070.9844,3309633.735
33964,222150.9844,3309633.735
33965,222230.9844,3309633.735
33966,222310.9844,3309633.735
33967,222390.9844,3309633.735
33968,222470.9844,3309633.735
33969,220710.9844,3309713.735
33970,220790.9844,3309713.735
33971,220870.9844,3309713.735
33972,220950.9844,3309713.735
33973,221030.9844,3309713.735
33974,221110.9844,3309713.735
33975,221190.9844,3309713.735
33976,221270.9844,3309713.735
33977,221350.9844,3309713.735
33978,221430.9844,3309713.735
33979,221510.9844,3309713.735
33980,221590.9844,3309713.735
33981,221670.9844,3309713.735
33982,221750.9844,3309713.735
33983,221830.9844,3309713.735
33984,221910.9844,3309713.735
33985,221990.9844,3309713.735
33986,222070.9844,3309713.735
33987,222150.9844,3309713.735
33988,222230.9844,3309713.735
33989,222310.9844,3309713.735
33990,222390.9844,3309713.735
33991,222470.9844,3309713.735
33992,220630.9844,3309793.735
33993,220710.9844,3309793.735
33994,220790.9844,3309793.735
33995,220870.9844,3309793.735
33996,220950.9844,3309793.735
33997,221030.9844,3309793.735
33998,221110.9844,3309793.735
33999,221190.9844,3309793.735
34000,221270.9844,3309793.735
34001,221350.9844,3309793.735
34002,221430.9844,3309793.735
34003,221510.9844,3309793.735
34004,221590.9844,3309793.735
34005,221670.9844,3309793.735
34006,221750.9844,3309793.735
34007,221830.9844,3309793.735
34008,221910.9844,3309793.735
34009,221990.9844,3309793.735
34010,222070.9844,3309793.735
34011,222150.9844,3309793.735
34012,222230.9844,3309793.735
34013,222310.9844,3309793.735
34014,222390.9844,3309793.735
34015,222470.9844,3309793.735
34016,222550.9844,3309793.735
34017,220470.9844,3309873.735
34018,220550.9844,3309873.735
34019,220630.9844,3309873.735
34020,220710.9844,3309873.735
34021,220790.9844,3309873.735
34022,220870.9844,3309873.735
34023,220950.9844,3309873.735
34024,221030.9844,3309873.735
34025,221110.9844,3309873.735
34026,221190.9844,3309873.735
34027,221270.9844,3309873.735
34028,221350.9844,3309873.735
34029,221430.9844,3309873.735
34030,221510.9844,3309873.735
34031,221590.9844,3309873.735
34032,221670.9844,3309873.735
34033,221750.9844,3309873.735
34034,221830.9844,3309873.735
34035,221910.9844,3309873.735
34036,221990.9844,3309873.735
34037,222070.9844,3309873.735
34038,222150.9844,3309873.735
34039,222230.9844,3309873.735
34040,222310.9844,3309873.735
34041,222390.9844,3309873.735
34042,222470.9844,3309873.735
34043,222550.9844,3309873.735
34044,222630.9844,3309873.735
34045,220310.9844,3309953.735
34046,220390.9844,3309953.735
