OBJECTID,X,Y
1,277750.9844,3325313.735
2,277510.9844,3325393.735
3,277590.9844,3325393.735
4,277670.9844,3325393.735
5,277750.9844,3325393.735
6,277830.9844,3325393.735
7,277910.9844,3325393.735
8,277430.9844,3325473.735
9,277510.9844,3325473.735
10,277590.9844,3325473.735
11,277670.9844,3325473.735
12,277750.9844,3325473.735
13,277830.9844,3325473.735
14,277910.9844,3325473.735
15,277990.9844,3325473.735
16,278070.9844,3325473.735
17,278150.9844,3325473.735
18,277350.9844,3325553.735
19,277430.9844,3325553.735
20,277510.9844,3325553.735
21,277590.9844,3325553.735
22,277670.9844,3325553.735
23,277750.9844,3325553.735
24,277830.9844,3325553.735
25,277910.9844,3325553.735
26,277990.9844,3325553.735
27,278070.9844,3325553.735
28,278150.9844,3325553.735
29,278230.9844,3325553.735
30,278310.9844,3325553.735
31,278390.9844,3325553.735
32,277350.9844,3325633.735
33,277430.9844,3325633.735
34,277510.9844,3325633.735
35,277590.9844,3325633.735
36,277670.9844,3325633.735
37,277750.9844,3325633.735
38,277830.9844,3325633.735
39,277910.9844,3325633.735
40,277990.9844,3325633.735
41,278070.9844,3325633.735
42,278150.9844,3325633.735
43,278230.9844,3325633.735
44,278310.9844,3325633.735
45,278390.9844,3325633.735
46,278470.9844,3325633.735
47,278550.9844,3325633.735
48,277270.9844,3325713.735
49,277350.9844,3325713.735
50,277430.9844,3325713.735
51,277510.9844,3325713.735
52,277590.9844,3325713.735
53,277670.9844,3325713.735
54,277750.9844,3325713.735
55,277830.9844,3325713.735
56,277910.9844,3325713.735
57,277990.9844,3325713.735
58,278070.9844,3325713.735
59,278150.9844,3325713.735
60,278230.9844,3325713.735
61,278310.9844,3325713.735
62,278390.9844,3325713.735
63,278470.9844,3325713.735
64,278550.9844,3325713.735
65,278630.9844,3325713.735
66,278710.9844,3325713.735
67,277270.9844,3325793.735
68,277350.9844,3325793.735
69,277430.9844,3325793.735
70,277510.9844,3325793.735
71,277590.9844,3325793.735
72,277670.9844,3325793.735
73,277750.9844,3325793.735
74,277830.9844,3325793.735
75,277910.9844,3325793.735
76,277990.9844,3325793.735
77,278070.9844,3325793.735
78,278150.9844,3325793.735
79,278230.9844,3325793.735
80,278310.9844,3325793.735
81,278390.9844,3325793.735
82,278470.9844,3325793.735
83,278550.9844,3325793.735
84,278630.9844,3325793.735
85,278710.9844,3325793.735
86,277190.9844,3325873.735
87,277270.9844,3325873.735
88,277350.9844,3325873.735
89,277430.9844,3325873.735
90,277510.9844,3325873.735
91,277590.9844,3325873.735
92,277670.9844,3325873.735
93,277750.9844,3325873.735
94,277830.9844,3325873.735
95,277910.9844,3325873.735
96,277990.9844,3325873.735
97,278070.9844,3325873.735
98,278150.9844,3325873.735
99,278230.9844,3325873.735
100,278310.9844,3325873.735
101,278390.9844,3325873.735
102,278470.9844,3325873.735
103,278550.9844,3325873.735
104,278630.9844,3325873.735
105,278710.9844,3325873.735
106,278790.9844,3325873.735
107,277190.9844,3325953.735
108,277270.9844,3325953.735
109,277350.9844,3325953.735
110,277430.9844,3325953.735
111,277510.9844,3325953.735
112,277590.9844,3325953.735
113,277670.9844,3325953.735
114,277750.9844,3325953.735
115,277830.9844,3325953.735
116,277910.9844,3325953.735
117,277990.9844,3325953.735
118,278070.9844,3325953.735
119,278150.9844,3325953.735
120,278230.9844,3325953.735
121,278310.9844,3325953.735
122,278390.9844,3325953.735
123,278470.9844,3325953.735
124,278550.9844,3325953.735
125,278630.9844,3325953.735
126,278710.9844,3325953.735
127,278790.9844,3325953.735
128,278870.9844,3325953.735
129,277110.9844,3326033.735
130,277190.9844,3326033.735
131,277270.9844,3326033.735
132,277350.9844,3326033.735
133,277430.9844,3326033.735
134,277510.9844,3326033.735
135,277590.9844,3326033.735
136,277670.9844,3326033.735
137,277750.9844,3326033.735
138,277830.9844,3326033.735
139,277910.9844,3326033.735
140,277990.9844,3326033.735
141,278070.9844,3326033.735
142,278150.9844,3326033.735
143,278230.9844,3326033.735
144,278310.9844,3326033.735
145,278390.9844,3326033.735
146,278470.9844,3326033.735
147,278550.9844,3326033.735
148,278630.9844,3326033.735
149,278710.9844,3326033.735
150,278790.9844,3326033.735
151,278870.9844,3326033.735
152,278950.9844,3326033.735
153,276950.9844,3326113.735
154,277030.9844,3326113.735
155,277110.9844,3326113.735
156,277190.9844,3326113.735
157,277270.9844,3326113.735
158,277350.9844,3326113.735
159,277430.9844,3326113.735
160,277510.9844,3326113.735
161,277590.9844,3326113.735
162,277670.9844,3326113.735
163,277750.9844,3326113.735
164,277830.9844,3326113.735
165,277910.9844,3326113.735
166,277990.9844,3326113.735
167,278070.9844,3326113.735
168,278150.9844,3326113.735
169,278230.9844,3326113.735
170,278310.9844,3326113.735
171,278390.9844,3326113.735
172,278470.9844,3326113.735
173,278550.9844,3326113.735
174,278630.9844,3326113.735
175,278710.9844,3326113.735
176,278790.9844,3326113.735
177,278870.9844,3326113.735
178,278950.9844,3326113.735
179,279030.9844,3326113.735
180,276790.9844,3326193.735
181,276870.9844,3326193.735
182,276950.9844,3326193.735
183,277030.9844,3326193.735
184,277110.9844,3326193.735
185,277190.9844,3326193.735
186,277270.9844,3326193.735
187,277350.9844,3326193.735
188,277430.9844,3326193.735
189,277510.9844,3326193.735
190,277590.9844,3326193.735
191,277670.9844,3326193.735
192,277750.9844,3326193.735
193,277830.9844,3326193.735
194,277910.9844,3326193.735
195,277990.9844,3326193.735
196,278070.9844,3326193.735
197,278150.9844,3326193.735
198,278230.9844,3326193.735
199,278310.9844,3326193.735
200,278390.9844,3326193.735
201,278470.9844,3326193.735
202,278550.9844,3326193.735
203,278630.9844,3326193.735
204,278710.9844,3326193.735
205,278790.9844,3326193.735
206,278870.9844,3326193.735
207,278950.9844,3326193.735
208,279030.9844,3326193.735
209,279110.9844,3326193.735
210,276550.9844,3326273.735
211,276630.9844,3326273.735
212,276710.9844,3326273.735
213,276790.9844,3326273.735
214,276870.9844,3326273.735
215,276950.9844,3326273.735
216,277030.9844,3326273.735
217,277110.9844,3326273.735
218,277190.9844,3326273.735
219,277270.9844,3326273.735
220,277350.9844,3326273.735
221,277430.9844,3326273.735
222,277510.9844,3326273.735
223,277590.9844,3326273.735
224,277670.9844,3326273.735
225,277750.9844,3326273.735
226,277830.9844,3326273.735
227,277910.9844,3326273.735
228,277990.9844,3326273.735
229,278070.9844,3326273.735
230,278150.9844,3326273.735
231,278230.9844,3326273.735
232,278310.9844,3326273.735
233,278390.9844,3326273.735
234,278470.9844,3326273.735
235,278550.9844,3326273.735
236,278630.9844,3326273.735
237,278710.9844,3326273.735
238,278790.9844,3326273.735
239,278870.9844,3326273.735
240,278950.9844,3326273.735
241,279030.9844,3326273.735
242,279110.9844,3326273.735
243,276390.9844,3326353.735
244,276470.9844,3326353.735
245,276550.9844,3326353.735
246,276630.9844,3326353.735
247,276710.9844,3326353.735
248,276790.9844,3326353.735
249,276870.9844,3326353.735
250,276950.9844,3326353.735
251,277030.9844,3326353.735
252,277110.9844,3326353.735
253,277190.9844,3326353.735
254,277270.9844,3326353.735
255,277350.9844,3326353.735
256,277430.9844,3326353.735
257,277510.9844,3326353.735
258,277590.9844,3326353.735
259,277670.9844,3326353.735
260,277750.9844,3326353.735
261,277830.9844,3326353.735
262,277910.9844,3326353.735
263,277990.9844,3326353.735
264,278070.9844,3326353.735
265,278150.9844,3326353.735
266,278230.9844,3326353.735
267,278310.9844,3326353.735
268,278390.9844,3326353.735
269,278470.9844,3326353.735
270,278550.9844,3326353.735
271,278630.9844,3326353.735
272,278710.9844,3326353.735
273,278790.9844,3326353.735
274,278870.9844,3326353.735
275,278950.9844,3326353.735
276,279030.9844,3326353.735
277,276230.9844,3326433.735
278,276310.9844,3326433.735
279,276390.9844,3326433.735
280,276470.9844,3326433.735
281,276550.9844,3326433.735
282,276630.9844,3326433.735
283,276710.9844,3326433.735
284,276790.9844,3326433.735
285,276870.9844,3326433.735
286,276950.9844,3326433.735
287,277030.9844,3326433.735
288,277110.9844,3326433.735
289,277190.9844,3326433.735
290,277270.9844,3326433.735
291,277350.9844,3326433.735
292,277430.9844,3326433.735
293,277510.9844,3326433.735
294,277590.9844,3326433.735
295,277670.9844,3326433.735
296,277750.9844,3326433.735
297,277830.9844,3326433.735
298,277910.9844,3326433.735
299,277990.9844,3326433.735
300,278070.9844,3326433.735
301,278150.9844,3326433.735
302,278230.9844,3326433.735
303,278310.9844,3326433.735
304,278390.9844,3326433.735
305,278470.9844,3326433.735
306,278550.9844,3326433.735
307,278630.9844,3326433.735
308,278710.9844,3326433.735
309,278790.9844,3326433.735
310,278870.9844,3326433.735
311,276150.9844,3326513.735
312,276230.9844,3326513.735
313,276310.9844,3326513.735
314,276390.9844,3326513.735
315,276470.9844,3326513.735
316,276550.9844,3326513.735
317,276630.9844,3326513.735
318,276710.9844,3326513.735
319,276790.9844,3326513.735
320,276870.9844,3326513.735
321,276950.9844,3326513.735
322,277030.9844,3326513.735
323,277110.9844,3326513.735
324,277190.9844,3326513.735
325,277270.9844,3326513.735
326,277350.9844,3326513.735
327,277430.9844,3326513.735
328,277510.9844,3326513.735
329,277590.9844,3326513.735
330,277670.9844,3326513.735
331,277750.9844,3326513.735
332,277830.9844,3326513.735
333,277910.9844,3326513.735
334,277990.9844,3326513.735
335,278070.9844,3326513.735
336,278150.9844,3326513.735
337,278230.9844,3326513.735
338,278310.9844,3326513.735
339,278390.9844,3326513.735
340,278470.9844,3326513.735
341,278550.9844,3326513.735
342,278630.9844,3326513.735
343,278710.9844,3326513.735
344,278790.9844,3326513.735
345,276070.9844,3326593.735
346,276150.9844,3326593.735
347,276230.9844,3326593.735
348,276310.9844,3326593.735
349,276390.9844,3326593.735
350,276470.9844,3326593.735
351,276550.9844,3326593.735
352,276630.9844,3326593.735
353,276710.9844,3326593.735
354,276790.9844,3326593.735
355,276870.9844,3326593.735
356,276950.9844,3326593.735
357,277030.9844,3326593.735
358,277110.9844,3326593.735
359,277190.9844,3326593.735
360,277270.9844,3326593.735
361,277350.9844,3326593.735
362,277430.9844,3326593.735
363,277510.9844,3326593.735
364,277590.9844,3326593.735
365,277670.9844,3326593.735
366,277750.9844,3326593.735
367,277830.9844,3326593.735
368,277910.9844,3326593.735
369,277990.9844,3326593.735
370,278070.9844,3326593.735
371,278150.9844,3326593.735
372,278230.9844,3326593.735
373,278310.9844,3326593.735
374,278390.9844,3326593.735
375,278470.9844,3326593.735
376,278550.9844,3326593.735
377,278630.9844,3326593.735
378,276070.9844,3326673.735
379,276150.9844,3326673.735
380,276230.9844,3326673.735
381,276310.9844,3326673.735
382,276390.9844,3326673.735
383,276470.9844,3326673.735
